,headlines,content,date,headlines_en,content_en,stem_headline_en,emotion
420,burgemeesters geschrokken van corona bij nertsenbedrijven in brabant,de burgemeesters van gemert-bakel en laarbeek zijn erg geschrokken dat bij twee nertsenhouderijen in hun gemeenten corona is geconstateerd. in een straal ...,26-04-20,Mayors shocked corona mink companies in Brabant,the mayors of Gemert-Bakel and laarbeek are very shocked that observed in two mink farms in their communities corona. Radius ...,"['Mayors', 'shocked', 'corona', 'mink', 'company', 'Brabant']",disgust
421,duitsland ziet af van corona-app met centrale data-opslag,"duitsland ontwikkelt geen corona-app meer die locatiegegevens bewaart op een centrale server, waarover autoriteiten de controle hebben. het land sluit zich ...",26-04-20,Germany renounces corona app with central data storage,"Germany does not develop corona app more stores location data on a central server, which authorities have control. The country joins ...","['Germany', 'renounces', 'corona', 'app', 'with', 'central', 'data', 'storage']",anger
422,nederlandse organisatie achter corona-app olvg maakt app die kenia en ghana moet beschermen,"het nederlandse luscii werkte de afgelopen weken aan de covidconnect, een app die de verspreiding van het coronavirus in afrikaanse landen moet teg...",26-04-20,Dutch organization behind corona app makes OLVG app to protect Kenya and Ghana,"The Dutch luscii worked in recent weeks to covidconnect, an app that the spread of the coronavirus in African countries should agai ...","['Dutch', 'organization', 'behind', 'corona', 'app', 'make', 'OLVG', 'app', 'protect', 'Kenya', 'and', 'Ghana']",guilt
423,shirt maradona levert 55.000 euro op bij veiling voor slachtoffers corona,een shirt van diego maradona heeft zaterdag 55.000 euro opgeleverd bij een veiling om geld op te halen voor mensen in het italiaanse napels die zwaar ...,26-04-20,"shirt maradona delivers 55,000 euros at auction for victims corona","a shirt of Diego Maradona returned Saturday 55,000 at an auction to raise money for people in the Italian Naples heavily ...","['shirt', 'maradona', 'delivers', '55,000', 'euro', 'auction', 'for', 'victim', 'corona']",anger
424,ex-gegijzelde al qaeda geeft tips voor overleven corona-lockdown: 'er is altijd iemand slechter af dan jij',iemand die zes jaar lang in de sahara is vastgehouden door al qaeda weet als geen ander hoe je het beste kunt omgaan met coronamaatregelen zoals social ...,26-04-20,"Ex-hostage Al Qaeda gives tips for surviving corona lockdown, ""there is always someone worse off than you '",someone who spent six years in the Sahara has been held by al Qaeda knows how to best deal with corona measures such as social ...,"['Ex-hostage', 'Qaeda', 'give', 'tip', 'for', 'surviving', 'corona', 'lockdown', 'there', 'always', 'someone', 'worse', 'off', 'than', 'you']",fear
425,liveblog corona | vanaf 11 mei weer bezoek in verpleeghuizen,"dit is ons liveblog over het coronavirus. hier melden we alle ontwikkelingen rond het virus, in gelderland en wat verder belangrijk is om te weten voor jou.",26-04-20,live blog corona | from May 11 visit again in nursing homes,"this is our live blog of the coronavirus. Here we report any developments surrounding the virus, in Gelderland and whatever else is important to know you.","['live', 'blog', 'corona', 'from', 'May', 'visit', 'again', 'nursing', 'home']",joy
426,corona-filibuster afgeblazen: schuringa voorlopig vast,"de corona-filibuster van ddb's huiscolumnist ir. han a. schuringa jr. van morgenavond is afgeblazen. de ingenieur is vanochtend, op koningsdag, opgepakt ...",26-04-20,corona filibuster canceled: grinding input provisionally fixed,"the corona filibuster of ddb's house, columnist ir. han a. scouring input yr. of tomorrow is canceled. engineer this morning at King's, was arrested ...","['corona', 'filibuster', 'cancel', 'grinding', 'input', 'provisionally', 'fixed']",anger
427,"rivm meldt 66 nieuwe sterfgevallen, laagste aantal sinds piek eind maart",het aantal gemelde corona-doden is de afgelopen 24 uur gestegen met 66. daarnaast zijn er 75 nieuwe ziekenhuisopnames gemeld. dat blijkt uit de dagelijkse ...,26-04-20,rivm reported 66 new deaths lowest since late March peak,"the number of reported deaths corona has risen in the past 24 hours to 66. In addition, there are 75 new hospitalizations reported. as reflected in the daily ...","['rivm', 'reported', 'new', 'death', 'lowest', 'since', 'late', 'March', 'peak']",fear
428,'zo ziet een intelligente corona-exit eruit' | binnenland,het valt niet mee om te begrijpen op welke cijfers beleidsmakers zich in de coronacrisis baseren. begrippen als 'exponentiële groei' en uitspraken als 'r moet ...,26-04-20,'Sees as an intelligent corona exit out' | outback,"it is difficult to understand what numbers policymakers rely on the corona crisis. concepts such as ""exponential growth"" and statements like 'r must ...","[""'Sees"", 'intelligent', 'corona', 'exit', 'out', 'outback']",fear
429,"maatregelen na coronabesmetting bij nertsen in brabantse fokkerijen, burgemeesters geschrokken",video/updatebij twee nertsenfokkers in brabant zijn met corona besmette nertsen aangetroffen. de dieren vertoonden verschillende ziekteverschijnselen ...,26-04-20,"measures after coronavirus infection in mink farms in Brabant, mayors shocked",video / updatebij two mink breeders in Brabant were found infected with coronavirus mink. the animals showed disease symptoms various ...,"['measure', 'after', 'coronavirus', 'infection', 'mink', 'farm', 'Brabant', 'mayors', 'shocked']",disgust
430,totaal in westfriesland 299 door rivm doorgegeven corona meldingen,regio – zondagmiddag 26 april heeft de rivm op haar website een nieuw overzicht gepubliceerd. het aantal ziekenhuis opnamen staat op 96 en corona ...,26-04-20,Westfriesland total in 299 by rivm passed corona reports,"region - Sunday April 26, the rivm published on its website a new list. the number of hospitalizations is 96 and corona ...","['Westfriesland', 'total', '299', 'rivm', 'pass', 'corona', 'report']",joy
431,vrees voor corona drijft de syrische taher terug naar zijn verwoeste huis,"voor veel inwoners van idlib is het een duivels dilemma: in een overvol vluchtelingenkamp aan de turkse grens blijven, of de gok wagen en terugkeren naar ...",26-04-20,fear of the Syrian corona taher drives back to his ruined house,"For many residents of Idlib is a dilemma: on the Turkish border in a crowded refugee camp, or gamble and return to ...","['fear', 'the', 'Syrian', 'corona', 'taher', 'drive', 'back', 'his', 'ruined', 'house']",fear
432,de modetrends die we missen door corona,"mijn mailbox ontploft dagelijks van de aanbiedingen van asos, and;other stories, uniqlo en andere grote modebedrijven die zo hopen te verleiden tot aankopen.",26-04-20,the fashion trends that we missed by corona,"my mailbox explodes daily offers from asos, and, other stories, Uniqlo and other major fashion companies that hope to entice purchases.","['the', 'fashion', 'trend', 'that', 'missed', 'corona']",anger
433,eerste faillissementen door corona zijn een feit en volgens deze analist zullen er nog velen volgen,het pakket aan noodmaatregelen voor ondernemers ten spijt: de eerste corona-faillissementen zijn aangemeld. volgens analist robert jan blom zullen er snel ...,26-04-20,"First bankruptcies by corona is a fact, and according to this analyst will follow many",Despite the package of emergency measures for entrepreneurs: the first corona failures are logged. according to analyst Robert Jan Blom will soon ...,"['First', 'bankruptcies', 'corona', 'fact', 'and', 'according', 'this', 'analyst', 'will', 'follow', 'many']",sadness
434,kamervragen pvda over corona-besmetting nertsenbedrijven | de peel,"den haag - de pvda-kamerfractie in den haag wil van de minister weten of alle nertsenbedrijven worden gecontroleerd, nu er corona-besmette nertsen zijn ...",26-04-20,PvdA parliamentary questions about coronavirus infection mink companies | the peel,"cashier - the PvdA parliamentary party in The Hague wants the minister to know that all mink businesses are inspected, now there are corona-infected mink ...","['PvdA', 'parliamentary', 'question', 'about', 'coronavirus', 'infection', 'mink', 'company', 'the', 'peel']",fear
435,"bussum laat zich koningsdag niet afpakken door corona: een fietsoptocht in de voortuin, een kleedje bij het tuinhek en het wilhelmus bij de voordeur","een voor een komen de buren naar buiten en stellen zich, vrijwel zonder uitzondering in oranje kleren gekleed, op in hun oortuinen. de s'jacoblaan in bussum ...",26-04-20,"bussum let them not take away King's corona, a bicycle parade in the front yard, a rug at the garden gate and the front door wilhelmus","one by one the neighbors out and introduce themselves, almost without exception dressed in orange clothes on their oortuinen. the s'jacoblaan in bussum ...","['bussum', 'let', 'them', 'not', 'take', 'away', 'King', 'corona', 'bicycle', 'parade', 'the', 'front', 'yard', 'rug', 'the', 'garden', 'gate', 'and', 'the', 'front', 'door', 'wilhelmus']",fear
436,laatste coronanieuws: dodental corona mogelijk 60% hoger dan officiële cijfers,koning roept burgers op er 'thuis en toch samen' een 'onvergetelijke' koningsdag van te maken. verminderde productie lijkt onvoldoende om oliemarkten te ...,26-04-20,corona latest news: deaths corona possible 60% higher than official figures,"King calls citizens are ""at home and still together 'an' unforgettable 'King's to make. reduced production appears to be insufficient to oil markets ...","['corona', 'latest', 'news', 'death', 'corona', 'possible', 'higher', 'than', 'official', 'figure']",sadness
437,"troostdieren volop in trek: 'heerlijk, wat afleiding van al die corona-ellende'","nu we toch thuiszitten vanwege de coronacrisis, biedt een nieuwe hond of kitten heerlijk afleiding. de vraag is groot en de asiels komen zo mooi van hun ...",26-04-20,"consolation animals well popular ""lovely distraction from all that misery corona '",Now we're sitting at home because of the corona crisis provides a new cat or kitten lovely distraction. demand is high and the shelters are so beautiful in their ...,"['consolation', 'animal', 'well', 'popular', 'lovely', 'distraction', 'from', 'all', 'that', 'misery', 'corona']",sadness
438,dordtse woningcorporatie stelt huurverhoging uit door corona,"in deze moeilijke periode stelt woningcorporatie trivire in dordrecht, zwijndrecht en hendrik-ido-ambacht, de huurverhoging van juli met een maand uit.",26-04-20,dordtse housing sets rent increase by corona,"in this difficult period allows housing trivire in Dordrecht, Zwijndrecht and Hendrik-Ido-Ambacht, the rent increase in July to a month.","['dordtse', 'housing', 'set', 'rent', 'increase', 'corona']",anger
439,wat nou laks met corona? onze jeugd 'verdient écht een pluim!',"ondanks wat incidenten her en der in het land, gedraagt de jeugd zich sinds het instellen van de noodmaatregelen vanwege de corona-uitbraak prima.",26-04-20,"Well what lax corona? our youth 'really deserves a compliment! ""","despite some incidents here and there in the country, the youth behaves itself since the imposition of emergency measures due to the corona outbreak fine.","['Well', 'what', 'lax', 'corona', 'our', 'youth', ""'really"", 'deserves', 'compliment']",anger
440,de mondzorg worstelt met richtlijn corona,"tandartspraktijken starten langzaam weer op. de voorwaarden die zij stellen om weer open te gaan, verschillen sterk. dat leidt tot frustratie en veel vragen.",26-04-20,oral care struggles with Directive corona,dentists start slowly again. the conditions it set to reopen to differ greatly. which leads to frustration and a lot of questions.,"['oral', 'care', 'struggle', 'with', 'Directive', 'corona']",fear
441,belgische moeder met corona krijgt gezonde baby: 'ik was zo ongerust',"amandine was hoogzwanger toen ze de diagnose covid-19 kreeg. de moeder uit belgië had geen symptomen, maar omdat de geboorte via een keizersnede ...",26-04-20,"Belgian mother corona get healthy baby: ""I was so worried '","amandine was pregnant when she was diagnosed covid-19. Mother of Belgium had no symptoms, but since the birth by cesarean ...","['Belgian', 'mother', 'corona', 'get', 'healthy', 'baby', 'be', 'worried']",joy
442,besmettingsgraad corona in staat new york zakt onder 1,"de autoriteiten in de amerikaanse staat new york hebben de besmettingsgraad per coronapatiënt teruggebracht tot 0,8. dat betekent dat iemand die het virus ...",26-04-20,coronavirus infection rate in New York State falls below 1,the authorities in the US state of New York have reduced the infection rate per patient to 0.8 corona. that means someone carrying the virus ...,"['coronavirus', 'infection', 'rate', 'New', 'York', 'State', 'fall', 'below']",sadness
443,radboudumc start met bcg-vaccin tegen corona | binnenland,"heken hofman heeft zich direct nadat ze de oproep las, aangemeld voor het onderzoek naar de werking van het bcg-vaccin tegen corona. „ik vind het ...",26-04-20,Radboud University Nijmegen Medical Center starting with BCG vaccine against corona | outback,"hake hofman has right after she read the appeal, signed to investigate the effect of the BCG vaccine against corona. ""I think it's ...","['Radboud', 'University', 'Nijmegen', 'Medical', 'Center', 'starting', 'with', 'BCG', 'vaccine', 'against', 'corona', 'outback']",fear
444,bill gates zet zijn hele fonds in voor bestrijden corona,"microsoft-oprichter bill gates gaat zijn hele goededoelenfonds inzetten voor het bestrijden van de coronapandemie. in dat fonds, de bill and; melinda gates ...",26-04-20,Bill Gates puts his whole fund to combat corona,"Microsoft founder Bill Gates is going to be all charity fund committed to fighting the pandemic corona. in that fund, and the bill; melinda gates ...","['Bill', 'Gates', 'put', 'his', 'whole', 'fund', 'combat', 'corona']",disgust
445,huishoudwerkers door corona in problemen,naar schatting tienduizenden huishoudelijk werkers in nederland hebben door de coronacrisis hun bron van inkomsten verloren.,26-04-20,domestic workers by corona in trouble,estimated tens of thousands have domestic workers in Netherlands lost their source of income through the corona crisis.,"['domestic', 'worker', 'corona', 'trouble']",disgust
446,oppositie: meer openheid rond corona-adviezen | binnenland,bij de oppositiepartijen in de tweede kamer groeit het ongemak rond de corona-adviezen van het outbreak management team (omt). het kabinet zou meer ...,26-04-20,Opposition: more openness around corona advice | outback,the opposition parties in the second chamber is growing discomfort around the corona opinions of the outbreak management team (OMT). The government would be more ...,"['Opposition', 'more', 'openness', 'around', 'corona', 'advice', 'outback']",fear
447,corona in rivierenland: één persoon overleden en één ziekenhuisopname,tiel - een persoon uit het rivierenland is afgelopen etmaal overleden aan corona. het gaat om een inwoner van de gemeente west-betuwe. en een persoon is ...,26-04-20,corona in rivierenland: one person deceased and one hospitalization,valve - a person from the rivers is deceased last day of corona. it is a native of the town west betuwe. and a person ...,"['corona', 'rivierenland', 'one', 'person', 'deceased', 'and', 'one', 'hospitalization']",sadness
448,nijmeegse atleet foppen wint met toptijd corona solo 5k; evenement krijgt een vervolg,nijmegen - mike foppen heeft met een 'nederlands record' de eerste editie van de corona solo 5k op zijn naam geschreven. de nijmeegse hardloper liep ...,26-04-20,nijmegen fool athlete wins top time corona solo 5k; event will be followed,Nijmegen - mike fool has written a Dutch record the first edition of the corona solo 5k his name. Nijmegen runner ran ...,"['nijmegen', 'fool', 'athlete', 'win', 'top', 'time', 'corona', 'solo', 'event', 'will', 'followed']",joy
449,brad pitt imiteert dokter fauci en verheldert de corona-adviezen van trump,brad pitt heeft de kijkers van het komische tv-programma saturday night live opheldering gegeven over de omstreden adviezen van donald trump over de ...,26-04-20,brad pitt imitates Dr. Fauci and brightens the corona opinions of Trump,"brad pitt, the viewers of the comedy TV show Saturday Night Live clarification given about the controversial opinions of Donald Trump on the ...","['brad', 'pitt', 'imitates', 'Dr.', 'Fauci', 'and', 'brightens', 'the', 'corona', 'opinion', 'Trump']",disgust
450,roland garros-winnaar werkt tijdens corona als vakkenvuller: 'wilde gewoon een normale baan',kevin krawietz beleefde een jaar geleden zijn sportieve hoogtepunt door roland garros samen met dubbelpartner andreas mies op zijn naam te schrijven.,26-04-20,"Roland Garros winner works during corona as vakkenvuller ""just wanted a regular job '",Kevin Krawietz experienced a year ago by sporting highlight Roland Garros with doubles partner Andreas premiums on its name to write.,"['Roland', 'Garros', 'winner', 'work', 'during', 'corona', 'vakkenvuller', 'just', 'want', 'regular', 'job']",sadness
451,eerste corona-patiënten in zorghotel apeldoorn | coronavirus,het zorghotel op de juliana-locatie in apeldoorn heeft zijn eerste corona-patiënten. dat meldt zorgorganisatie kleingeluk.,26-04-20,first corona patients in care hotel apeldoorn | coronavirus,his first corona patients care hotel at the Juliana location in Apeldoorn. which notifies healthcare organization little happiness.,"['first', 'corona', 'patients', 'care', 'hotel', 'apeldoorn', 'coronavirus']",fear
452,'minister de jonge negeerde appbouwers bij corona-app',volgens victor knaap van mediamonks negeerde minister de jonge echte experts bij de corona-app.,26-04-20,'Minister ignored the young appbouwers at corona app,as victor fellow monks media minister ignored the young real experts in the corona app.,"[""'Minister"", 'ignored', 'the', 'young', 'appbouwers', 'corona', 'app']",anger
453,tesla lapt corona regels weer aan haar laars,tesla haalde zich veel ergernis op de hals door het breken van de shelter-in-place regels om corona te bestrijden. nu doet tesla het echter gewoon weer.,26-04-20,Tesla overlaps corona lines back to her boot,"Tesla took themselves much annoyance on the neck by breaking the shelter-in-place rules to combat corona. Now, however, does Tesla's just weather.","['Tesla', 'overlaps', 'corona', 'line', 'back', 'her', 'boot']",guilt
454,fransen straks massaal op de fiets tegen corona,"in toulouse, in zuid-frankrijk, stonden automobilisten ineens stil. recht voor ze werden op de rijstrook in recordtempo rood-wit gestreepte wegblokkades ...",26-04-20,french soon flock to the bicycle against corona,"Toulouse, in southern France, motorists were suddenly silent. They were right on the lane in record time red and white striped roadblocks ...","['french', 'soon', 'flock', 'the', 'bicycle', 'against', 'corona']",fear
455,video-animaties met uitleg over corona in begrijpelijke taal,stichting lezen en schrijven heeft video-animaties in een begrijpelijke taal gemaakt over de coronamaatregelen.,26-04-20,video animations explaining corona in understandable language,Foundation literacy has video animations in an understandable language made the corona measures.,"['video', 'animation', 'explaining', 'corona', 'understandable', 'language']",disgust
456,nu ook nertsen besmet met corona,"het aantal coronapatiënten dat op de intensive care verblijft, bedraagt nu 934. dat zijn er 25 minder dan zaterdag. vrijdag zakte het aantal patiënten op de ic ...",26-04-20,now mink infected with coronavirus,"the corona number of patients staying in intensive care, which now amounts to 934. There are 25 fewer than Saturday. Friday dropped the number of patients in intensive care ...","['now', 'mink', 'infected', 'with', 'coronavirus']",fear
457,loopfestijn afgelast? dan zelf maar een corona muziekmarathon organiseren,"eindhoven - de marathon die jonathan heywood (51) uit oirschot zondag in düsseldorf zou lopen, werd uiteraard afgelast vanwege corona. wat doe je dan?",26-04-20,running festival canceled? then organize yourself a corona music marathon,"Eindhoven - the marathon Jonathan Heywood (51) from oirschot Sunday in düsseldorf would run, of course, was canceled due to corona. what are you doing then?","['running', 'festival', 'cancel', 'then', 'organize', 'yourself', 'corona', 'music', 'marathon']",anger
458,stuur uw foto's van hoe u koningsdag viert in tijden van corona,koningsdag in tijden van corona. dat vraagt om een andere manier van feestvieren.,26-04-20,send your pictures of how you celebrate King's work in times of corona,King's work in times of corona. it requires a different way of celebrating.,"['send', 'your', 'picture', 'how', 'you', 'celebrate', 'King', 'work', 'time', 'corona']",joy
459,"corona in friesland - 26 april | scholieren wylde swan terug thuis, rustig op industrieterreinen en zorgen om drukte",er was een aantal spandoeken en een aantal ouders: zondagochtend meerde zeilschip wylde swan aan in harlingen. vanwege de coronauitbraak voer de ...,26-04-20,"corona in Friesland - April 26 | Wylde Swan schoolchildren back home, quietly and industrial concerns to hustle",there were a number of banners and some parents Sunday moored sailing Wylde Swan in harlingen. because of the outbreak enter the corona ...,"['corona', 'Friesland', 'April', 'Wylde', 'Swan', 'schoolchildren', 'back', 'home', 'quietly', 'and', 'industrial', 'concern', 'hustle']",fear
460,de 'mini-bieb' heeft geen last van corona: 'het is hier lekker druk',"de maatregelen tegen het coronavirus hebben onze samenleving flink veranderd. nauwelijks mogelijkheden om op bezoek te gaan, maar wel tijd voor andere ...",26-04-20,"The ""mini-library"" does not suffer from corona, ""it's nice pressure '","measures against the coronavirus our societies have changed considerably. Lack of possibility to go visit, but time for other ...","['The', 'mini-library', 'doe', 'not', 'suffer', 'from', 'corona', 'nice', 'pressure']",sadness
461,stilleggen cruisevaart vanwege corona betekent een flinke sc...,het wegvallen van de zeecruisevaart voor de amsterdamse haven levert het havenbedrijf port of amsterdam financiële klappen op.,26-04-20,shutdown cruise because of corona means a big sc ...,the loss of zeecruisevaart for the Amsterdam port provides port-port of Amsterdam financial blows.,"['shutdown', 'cruise', 'because', 'corona', 'mean', 'big', '...']",fear
462,enorm corona-kunstwerk duikt op in tulpenveld in flevopolder (en zo werd hij gemaakt),is dit wel echt? geen photoshop? dat moeten meer mensen gedacht hebben bij het zien van beelden van een enorme boodschap in een tulpenveld in de ...,26-04-20,huge corona artwork appears in tulip field in flevopolder (and he was),this is real? no photoshop? which should have thought more people seeing images of a huge message in a tulip field in the ...,"['huge', 'corona', 'artwork', 'appears', 'tulip', 'field', 'flevopolder', 'and', 'be']",joy
463,stelling: knvb heeft corona-dilemma prima opgelost,doe mee aan de stelling van de dag (van 09.00 tot 15.30 uur). iedere werkdag kunt u via onze website meedoen aan de telegraaf-lezersenquête.,26-04-20,statement: NFL has corona great dilemma solved,join the argument of the day (09.00 to 15.30). Every day you can join through our website at Telegraph readers survey.,"['statement', 'NFL', 'have', 'corona', 'great', 'dilemma', 'solved']",sadness
464,burgemeester heerde zat ziek thuis tijdens corona-uitbraak: 'ik heb nagedacht over de dood',videoburgemeester jacqueline koops van heerde lag wekenlang ziek thuis met corona. machteloos moest ze toezien hoe dit dodelijke en besmettelijke virus ...,26-04-20,"Mayor extracted during coronavirus outbreak was sick at home: ""I've been thinking about death '",Video mayor jacqueline koops of heerde weeks was home sick with corona. powerless she had to watch how this deadly and contagious ...,"['Mayor', 'extracted', 'during', 'coronavirus', 'outbreak', 'be', 'sick', 'home', ""'ve"", 'been', 'thinking', 'about', 'death']",fear
465,corona na brand nieuwe klap voor vakantiepark eigen wijze in bant: 'we blijven altijd positief',"nadat vorig jaar een brand de groepsaccommodatie van vakantiepark eigen wijze in bant heeft verwoest, is de coronacrisis in het jubileumjaar een nieuwe ...",26-04-20,"corona after brand new blow to holiday in their own way bantering: ""We always stay positive '",after last year's fire destroyed the property of a cottage has its own way eliminates the corona crisis in the jubilee year a new ...,"['corona', 'after', 'brand', 'new', 'blow', 'holiday', 'their', 'own', 'way', 'banter', 'always', 'stay', 'positive']",anger
466,hoe zit dat met die r-factor voor de corona-exit?,het valt niet mee om te begrijpen op welke cijfers beleidsmakers zich in de coronacrisis baseren. begrippen als 'exponentiële groei' en uitspraken als 'r moet ...,26-04-20,What about the R-factor for the corona exit?,"it is difficult to understand what numbers policymakers rely on the corona crisis. concepts such as ""exponential growth"" and statements like 'r must ...","['What', 'about', 'the', 'R-factor', 'for', 'the', 'corona', 'exit']",sadness
467,updates #7: corona in duitsland,"updates van de laatste ontwikkelingen rond corona in duitsland in het nederlands, elke werkdag. deze week worden de huidige maatregelen opnieuw ...",26-04-20,# 7 updates: Corona in Germany,updates of the latest developments surrounding corona in Germany in dutch every day. This week the current action again ...,"['updates', 'Corona', 'Germany']",joy
468,moet je volgend jaar extra belastingen betalen op je corona-uitkering? geldexpert michel maus ontwart het fiscale kluwen,het coronavirus laat zich hoe langer hoe meer rechtstreeks voelen in de portefeuille van de vlaming. maar welke gevolgen hebben de economische ...,26-04-20,you have to pay additional taxes next year on your corona benefit? money expert Michel Maus unravels the tax tangle,coronavirus makes itself increasingly feel directly into the portfolio of the Fleming. but the impact of the economic ...,"['you', 'have', 'pay', 'additional', 'tax', 'next', 'year', 'your', 'corona', 'benefit', 'money', 'expert', 'Michel', 'Maus', 'unravels', 'the', 'tax', 'tangle']",sadness
469,voorlopige opbrengst westland tegen corona ruim 1.200 euro,de zaterdagavond gehouden livestream westland tegen corona heeft in eerste instantie 1.205 euro aan donaties ten bate van het reinier de graafziekenhuis ...,26-04-20,"preliminary yield Westland against corona over 1,200 euros","Saturday night held livestream at Westland has corona first 1,205 euros in donations for the benefit of the Reinier de Graaf Hospital ...","['preliminary', 'yield', 'Westland', 'against', 'corona', 'over', '1,200', 'euro']",fear
470,'bestralen in tijden van corona: schouderklopjes niet toegelaten',professor karin haustermans getuigt over de invloed die de maatregelen tegen het coronavirus hebben op de relatie tussen patiënt en arts op de dienst ...,26-04-20,"""Irradiation in times of corona: patting allowed '",Professor Karin Haustermans testifies about the impact that the measures against the coronavirus to the relationship between patient and doctor service ...,"['Irradiation', 'time', 'corona', 'pat', 'allowed']",fear
471,leert corona ons dat gevangen zitten écht een straf is?,"door corona ervaren we aan den lijve wat inperking van vrijheid met ons doet. wie dacht dat een gevangenisstraf peanuts was, ziet dat nu wellicht a...",26-04-20,learns to sit really a punishment corona us caught?,"by corona we experience firsthand what curtailment of freedom with us. Who thought that was a prison peanuts, which now sees perhaps a ...","['learns', 'sit', 'really', 'punishment', 'corona', 'catch']",guilt
472,houdt toon hermans huis amersfoort staande tijdens corona crisis!,toon hermans huis is een bijzonder plek in amersfoort (tegenover het centraal station van amersfoort) waar ik en andere mensen die zelf of in de omgeving ...,26-04-20,holds toon hermans house amersfoort used during corona crisis!,toon hermans home is a special place in amersfoort (opposite Central Station amersfoort) where I and other people or the environment ...,"['hold', 'toon', 'herman', 'house', 'amersfoort', 'used', 'during', 'corona', 'crisis']",anger
473,noodgedwongen gescheiden door corona: “ik zou zo graag mijn pasgeboren kleinkind knuffelen”,"we keken zo uit naar meer sociaal contact, maar de regering gaf de voorkeur aan economische maatregelen. al zes weken moeten we in onze eigen bubbel ...",26-04-20,"forced separated by corona: ""I'd love cuddling my newborn grandchild""","We were so looking forward to more social contact, but the government gave preference to economic measures. six weeks we have in our own bubble ...","['forced', 'separated', 'corona', 'love', 'cuddling', 'newborn', 'grandchild']",joy
474,blog 2: corona bij ouderen met een verstandelijke beperking,mieke brouwers is coördinerend begeleider op de woonlocatie soendastraat van zorgorganisatie middin in den haag. op de soendastraat wonen 17 oudere ...,26-04-20,Blog 2: corona in older people with intellectual disabilities,Mieke is brewers coordinating supervisor of the residential area Soendastraat care organization Middin in london. the Soendastraat live 17 elderly ...,"['Blog', 'corona', 'old', 'people', 'with', 'intellectual', 'disability']",anger
475,'winst shell halveert door corona en overaanbod olie',"shell heeft in het afgelopen kwartaal zijn winst waarschijnlijk zien halveren. dat is de gemiddelde verwachting van analisten die shell volgen, blijkt uit een ...",26-04-20,'Profits shell halves by corona and oversupply of oil',"Shell has probably seen profits halve in the past quarter. that's the average expectation of analysts who follow shell, according to a ...","[""'Profits"", 'shell', 'halve', 'corona', 'and', 'oversupply', 'oil']",disgust
476,"sprinkhanenplagen, overstromingen en corona maken vrijwilligerswerk in kenia moeilijk",het sosurwo fonds uit rotterdam financiert en organiseert projecten voor weeskinderen in kenia. maar dit werk verkeert in zwaar weer. niet alleen de ...,26-04-20,"locust plagues, floods and corona make volunteering in Kenya difficult",Sosurwo the fund from Rotterdam finances and organizes projects for orphans in Kenya. but this work is in dire straits. Not only the ...,"['locust', 'plague', 'floods', 'and', 'corona', 'make', 'volunteering', 'Kenya', 'difficult']",disgust
477,door corona laait discussie over uitstel brexit weer op,"de corona-uitbraak had de brexit even naar de achtergrond gedreven, maar afgelopen week borrelden de irritaties over het britse vertrek uit de eu weer als ...",26-04-20,by corona flares discussion postponement United Kingdom and Gibraltar European Union membership referendum again,"Corona outbreak, the United Kingdom and Gibraltar European Union membership referendum had just driven into the background, but last week a drink irritations on the British departure from the EU again if ...","['corona', 'flare', 'discussion', 'postponement', 'United', 'Kingdom', 'and', 'Gibraltar', 'European', 'Union', 'membership', 'referendum', 'again']",anger
478,oostenrijk laat alleen toeristen toe uit landen met weinig corona - wel.nl,"oostenrijk, dat relatief vroeg de coronamaatregelen heeft versoepeld, is ook een van de eerste europese landen die weer een voorstel durft te doen op het ...",26-04-20,Austria allows only to tourists from countries with low corona - wel.nl,"austria, relatively early eased corona measures, is also one of the first European countries again dare to do on a proposal ...","['Austria', 'allows', 'only', 'tourist', 'from', 'country', 'with', 'low', 'corona', 'wel.nl']",disgust
479,paul hekkens - weekboek corona: wethouders en economen tackelen,"plus: hazelwormen, mondmaskers en italiaanse chantage.",26-04-20,paul gates - week book corona: councilors and economists tackle,"plus: blindworms, face masks and Italian blackmail.","['paul', 'gate', 'week', 'book', 'corona', 'councilors', 'and', 'economist', 'tackle']",anger
480,"viroloog feltkamp: 'corona gaat bij ons blijven, ook via dieren' - dit is de dag","groepsimmuniteit. vergeet het maar. we moeten de komende decennia leren leven met het coronavirus, zegt virologe marriet feltkamp. ze is nu bij me te...",26-04-20,"virologist felt camp ""corona will stay with us, even through animals' - this is the day","group immunity. forget it. We must learn to live in the coming decades with the coronavirus, says virologist Marriet felt camp. she's with me ...","['virologist', 'felt', 'camp', 'corona', 'will', 'stay', 'with', 'even', 'through', 'animal', 'this', 'the', 'day']",fear
481,"criteria corona-overbruggingslening (col) voor startups, scale-ups en innovatieve mkb-ers bekend; aanvragen mogelijk vanaf 29 april","criteria corona-overbruggingslening (col) voor startups, scale-ups en innovatieve mkb-ers bekend; aanvragen mogelijk vanaf 29 april. op 7 april kondigde ...",26-04-20,"criteria corona-bridging bond (col) for startups, scale-ups and innovative SME-ers is known; Applications possible from April 29","criteria corona-bridging bond (col) for startups, scale-ups and innovative SME-ers is known; Applications available from April 29th. announced on April 7th ...","['criteria', 'corona-bridging', 'bond', 'col', 'for', 'startup', 'scale-ups', 'and', 'innovative', 'SME-ers', 'known', 'Applications', 'possible', 'from', 'April']",joy
